title,series_name,series_n,year_first_published,author_name,num_pages,num_ratings,num_reviews,average_rating,main_genre,saga
This Is How You Lose the Time War,,,2019.0,Amal El-Mohtar,209.0,86075,17661,3.96,Science Fiction,Standalone
Deathless,,,2011.0,Catherynne M. Valente,352.0,18097,2883,3.98,Fantasy,Standalone
Jonathan Strange & Mr Norrell,,,2006.0,Susanna Clarke,1006.0,219407,16041,3.84,Fantasy,Standalone
American Gods,American Gods,,2011.0,Neil Gaiman,635.0,840495,42276,4.11,Fantasy,Standalone
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",,,2006.0,Terry Pratchett,491.0,633817,32180,4.25,Fantasy,Standalone
Stardust,,,2006.0,Neil Gaiman,248.0,402680,21418,4.09,Fantasy,Standalone
The Princess Bride,,,2003.0,William Goldman,456.0,841418,22632,4.26,Fantasy,Standalone
Circe,,,2018.0,Madeline Miller,393.0,661290,67663,4.26,Fantasy,Standalone
Gallant,,,2022.0,V.E. Schwab,334.0,25490,5760,3.91,Fantasy,Standalone
Among Others,,,2011.0,Jo Walton,304.0,23038,4372,3.7,Fantasy,Standalone
Gingerbread,,,2019.0,Helen Oyeyemi,372.0,12681,2507,3.06,Fiction,Standalone
The Forgotten Beasts of Eld,,,2006.0,Patricia A. McKillip,343.0,15849,1395,4.08,Fantasy,Standalone
The Night Circus,,,2011.0,Erin Morgenstern,387.0,820521,86868,4.03,Fantasy,Standalone
The Deep,,,2019.0,Rivers Solomon,166.0,23428,4846,3.79,Fantasy,Standalone
Upright Women Wanted,,,2020.0,Sarah Gailey,176.0,15518,3176,3.64,Fiction,Standalone
The House in the Cerulean Sea,,,2020.0,T.J. Klune,394.0,285067,51997,4.46,Fantasy,Standalone
Winterwood,,,2019.0,Shea Ernshaw,323.0,16896,3590,3.86,Fantasy,Standalone
